NAME	DESCRIPTION	AREA	NUMBER	TYPE_ID	EVENTSYSTEM_ID	EVENTSYSTEM	TYPE	EVENT_TYPE	REF_VALUE	EVALUATION_STRING	ENABLED	DEADBAND	HYSTERESIS	TIME_TO_TRIGGER	ID	EVENT_TYPE_ID
Frames loss	UPD receiving data loop is loosing frames. The frames are not consecutive.	700.EIB	705	1	30	EncoderSystemEvents	Warning	HIGHER	1	Frame numbers OK counter	1	0	0	0	133	1
Received Data not OK	Not all configured data packets are received from EIB or checksum is not valid	700.EIB	707	1	30	EncoderSystemEvents	Warning	HIGHER	1	Received Data OK counter	1	0	0	0	136	1
Bad format udp packet	Data received in upd port does not well formated. The amount of bytes is not corresponding to configured data packet number for EIB	700.EIB	709	1	30	EncoderSystemEvents	Warning	HIGHER	1	Bad format udp packet counter	1	0	0	0	137	1
Temperature Increase sensor 1	Cabinet Temperature increased above limit in sensor 1	1300.MainCabinet	1309	1	2	MainCabinetEvents	Warning	HIGHER	High Cabinet Temperature	(~Door&&(~Cabinet Temperature 1 error))*(Cabinet Temperature 1)	1	0	HighCabinetTemperatureHysteresis	0	400	1
Temperature Increase sensor 2	Cabinet Temperature increased above limit in sensor 2	1300.MainCabinet	1314	1	2	MainCabinetEvents	Warning	HIGHER	High Cabinet Temperature	(~Door&&(~Cabinet Temperature 2 error))*(Cabinet Temperature 2)	1	0	HighCabinetTemperatureHysteresis	0	401	1
Azimuth lost encoder heads	One or more encoder heads are lost, but the system can continue working	700.EIB	701	1	30	EncoderSystemEvents	Warning	LOWER	4	Active Azimuth Heads	1	0	0	0	54	2
Elevation lost encoder heads	One or more encoder heads are lost, but the system can continue working	700.EIB	703	1	30	EncoderSystemEvents	Warning	LOWER	4	Active Elevation Heads	1	0	0	0	56	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1604	1	55	AzimuthGroupEvents1	Warning	LOWER	4	ValidTemperatures	1	0	0	0	251	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1604	1	56	AzimuthGroupEvents2	Warning	LOWER	4	ValidTemperatures	1	0	0	0	252	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1704	1	59	ElevationGroupEvents1	Warning	LOWER	3	ValidTemperatures	1	0	0	0	255	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1605	1	55	AzimuthGroupEvents1	Warning	LOWER	3	ValidTemperatures	1	0	0	0	257	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	55	AzimuthGroupEvents1	Warning	LOWER	2	ValidTemperatures	1	0	0	0	258	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1605	1	56	AzimuthGroupEvents2	Warning	LOWER	3	ValidTemperatures	1	0	0	0	259	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1605	1	57	AzimuthGroupEvents3	Warning	LOWER	3	ValidTemperatures	1	0	0	0	260	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1604	1	57	AzimuthGroupEvents3	Warning	LOWER	4	ValidTemperatures	1	0	0	0	261	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1604	1	58	AzimuthGroupEvents4	Warning	LOWER	4	ValidTemperatures	1	0	0	0	262	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1605	1	58	AzimuthGroupEvents4	Warning	LOWER	3	ValidTemperatures	1	0	0	0	263	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	56	AzimuthGroupEvents2	Warning	LOWER	2	ValidTemperatures	1	0	0	0	264	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	57	AzimuthGroupEvents3	Warning	LOWER	2	ValidTemperatures	1	0	0	0	265	2
3TemperatureSensorFailure	Three of the temperature sensors in the group is failing. Check temperature sensors.	1600.AZDT	1606	1	58	AzimuthGroupEvents4	Warning	LOWER	2	ValidTemperatures	1	0	0	0	266	2
1TemperatureSensorFailure	One of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1704	1	60	ElevationGroupEvents2	Warning	LOWER	3	ValidTemperatures	1	0	0	0	267	2
2TemperatureSensorFailure	Two of the temperature sensors in the group is failing. Check temperature sensors.	1700.ELDT	1705	1	59	ElevationGroupEvents1	Warning	LOWER	2	ValidTemperatures	1	0	0	0	268	2
